avalanche_id,location,trigger_date_time,trigger_date_time_accuracy_code,trigger_type,avalanche_type,avalanche_size,avalanche_moisture,start_zone_aspect,snow_depth_sat,lat,lon,Avalanche Event,closest_station,station_abbr,tre200h0,tre200hn,tre200hx,tre005h0,tre005hn,ure200h0,pva200h0,tde200h0,prestah0,pp0qffh0,pp0qnhh0,ppz700h0,ppz850h0,fkl010h1,dkl010h0,fkl010h0,fu3010h0,fu3010h1,fkl010h3,fu3010h3,wcc006h0,fve010h0,rre150h0,htoauths,gre000h0,oli000h0,olo000h0,osr000h0,ods000h0,sre000h0,erefaoh0
f9b59268-33ad-4905-91cd-ccc9a1ae40a4,8.385942 46.778812,2023-04-17 08:30:00+02:00,2,EXPLOSIVE,LOOSE_SNOW,2,DRY,NE,109,46.79041412010121,8.379086443277847,0,ENG,ENG,4.0,3.0,5.4,7.8,4.9,89.2,7.3,2.4,900.3,,1019.4,,1502.5,3.8,135.0,0.8,2.9,13.7,3.6,13.0,0.0,,0.0,0.0,430.0,288.0,,,,28.0,0.168
a94851d0-e58a-11ed-94a2-bf37c1703856,7.5461 46.68465,2023-04-26 12:00:00+02:00,7,NATURAL,SLAB,2,UNKNOWN,SW,0,46.71596346165784,7.511995669642227,0,THU,THU,12.5,12.0,13.0,,,55.4,8.0,3.8,949.5,1015.9,1016.4,,,5.9,348.0,2.1,7.6,21.2,5.7,20.5,,,0.0,,579.0,,,,,23.0,0.322
c1bf9390-dd0b-11ed-8f1e-7bb69ddca4ec,8.237684 46.748368,2023-04-16 12:00:00+02:00,7,NATURAL,SLAB,2,DRY,NW,148,46.78520153460515,8.232538049276052,0,GIH,GIH,7.2,7.0,7.3,,,99.3,10.1,7.1,965.4,1022.1,1021.2,,,1.0,63.0,0.3,1.1,3.6,1.0,3.6,0.0,,0.2,,119.0,,,,109.0,0.0,0.069
50fbf8f0-dd0c-11ed-8f1e-7bb69ddca4ec,8.23687 46.747556,2023-04-16 12:00:00+02:00,5,NATURAL,SLAB,2,DRY,N,0,46.7363893840997,8.209508230688485,0,MER,MER,6.1,5.9,6.2,7.2,6.9,83.5,7.9,3.5,951.5,1021.9,1020.8,,,1.0,90.0,0.3,1.1,3.6,0.9,3.2,0.0,,0.2,,119.0,,,,108.0,0.0,0.07
68246170-d6db-11ed-8552-37fbec7ec321,8.370977 46.777677,2023-04-10 15:00:00+02:00,3,NATURAL,FULL_DEPTH,2,WET,S,63,46.820698181624984,8.326497247452883,0,ENG,ENG,12.4,12.1,12.8,16.1,15.8,40.5,5.8,-0.7,901.0,,1020.2,,1523.3,7.3,233.0,3.9,14.0,26.3,6.2,22.3,0.0,,0.0,0.0,403.0,301.0,,,,28.0,0.264
b6bd2020-dd0b-11ed-8f1e-7bb69ddca4ec,8.237321 46.747742,2023-04-16 12:00:00+02:00,7,NATURAL,SLAB,2,DRY,N,0,46.71199138389503,8.22543512696883,0,MER,MER,6.1,5.9,6.2,7.2,6.9,83.5,7.9,3.5,951.5,1021.9,1020.8,,,1.0,90.0,0.3,1.1,3.6,0.9,3.2,0.0,,0.2,,119.0,,,,108.0,0.0,0.07
673e5d3c-9736-4824-ac24-c511ffd507c4,8.418437 46.784875,2023-04-18 08:00:00+02:00,4,EXPLOSIVE,SLAB,1,DRY,NW,0,46.8251091060988,8.414328231554402,0,ENG,ENG,5.1,4.3,5.9,12.1,9.3,69.1,6.1,-0.2,898.4,,1017.3,,1486.8,3.7,99.0,2.0,7.2,13.3,3.4,12.2,0.0,,0.0,0.0,460.0,253.0,,,,60.0,0.186
50374fe0-d439-11ed-a920-a702e6e7f311,8.245848 46.760908,2023-04-06 16:00:00+02:00,2,NATURAL,FULL_DEPTH,1,WET,SW,3,46.72972769127707,8.240300064037429,0,MER,MER,11.0,10.9,11.1,11.5,11.1,34.5,4.6,-4.0,948.7,1017.6,1017.8,,,7.5,290.0,3.9,14.0,27.0,7.3,26.3,0.0,,0.0,,207.0,,,,202.0,0.0,0.186
673e5d3c-9736-4824-ac24-c511ffd507c4,8.418437 46.784875,2023-04-16 08:00:00+02:00,4,EXPLOSIVE,SLAB,1,DRY,NW,84,46.79182081686875,8.390838948285156,0,ENG,ENG,0.4,0.3,0.5,0.8,0.6,97.4,6.1,0.1,899.6,,1018.7,,1490.1,1.8,95.0,1.1,4.0,6.5,1.7,6.1,0.0,,1.7,0.0,76.0,320.0,,,,0.0,0.037
11f734d7-e1b6-4c3b-8fe6-abdd0b39cea0,8.385873 46.778735,2023-04-12 08:00:00+02:00,4,EXPLOSIVE,SLAB,2,DRY,NE,115,46.77232817591753,8.41236015851133,0,TIT,TIT,-4.5,-4.7,-4.3,,,96.7,4.2,-5.0,689.8,,1009.7,2982.1,,21.3,256.0,9.9,35.6,76.7,20.0,72.0,,,,,216.0,,,,,,0.045
c8955470-dce3-11ed-bcd6-6b951ea9af39,8.419791 46.782658,2023-04-19 12:00:00+02:00,7,EXPLOSIVE,SLAB,2,DRY,N,154,46.77280473405286,8.38413522701489,0,TIT,TIT,-6.1,-6.3,-5.9,,,88.8,3.5,-7.7,695.4,,1017.3,3045.9,,12.7,274.0,6.4,23.0,45.7,12.5,45.0,,,,,763.0,,,,,,0.171
f4bbdd10-e717-11ed-acf0-f7b342f82229,7.841373 46.562945,2023-04-30 12:00:00+02:00,7,NATURAL,UNKNOWN,3,UNKNOWN,NW,74,46.52215206071072,7.831181413598106,0,INT,INT,14.9,14.7,15.1,19.6,18.8,68.7,11.6,9.2,948.1,1014.8,1016.0,,,8.5,300.0,4.5,16.2,30.6,7.9,28.4,0.0,,0.0,,475.0,,,,440.0,0.0,0.283
